$0;1554281870512095896;1.13;KIEKER;icedsoul-PC;1;false;0;NANOSECONDS;0
$1;1554281870515144625;public com.shopping.dao.EvaluationDaoImplement.<init>();<no-session-id>;5353794794525032449;1554281870514865402;1554281870514880981;icedsoul-PC;0;0
$1;1554281872126014673;public com.shopping.entity.Product.<init>();<no-session-id>;5353794794525032450;1554281872125762704;1554281872125969093;icedsoul-PC;0;0
$1;1554281872127921346;public int com.shopping.entity.Product.getId();<no-session-id>;5353794794525032451;1554281872127102984;1554281872127910143;icedsoul-PC;0;0
$1;1554281872179493264;public com.shopping.entity.User.<init>();<no-session-id>;5353794794525032452;1554281872179479201;1554281872179489017;icedsoul-PC;0;0
$1;1554281872179888166;public int com.shopping.entity.User.getId();<no-session-id>;5353794794525032453;1554281872179871598;1554281872179884978;icedsoul-PC;0;0
$1;1554281872212244714;public com.shopping.entity.UserDetail.<init>();<no-session-id>;5353794794525032454;1554281872212230064;1554281872212240008;icedsoul-PC;0;0
$1;1554281872212642668;public int com.shopping.entity.UserDetail.getId();<no-session-id>;5353794794525032455;1554281872212624315;1554281872212638963;icedsoul-PC;0;0
$1;1554281872747521799;public com.shopping.dao.ProductDaoImplement.<init>();<no-session-id>;5353794794525032456;1554281872747512075;1554281872747518907;icedsoul-PC;0;0
$1;1554281872753669598;public com.shopping.dao.ShoppingCarDaoImplement.<init>();<no-session-id>;5353794794525032457;1554281872753659428;1554281872753666553;icedsoul-PC;0;0
$1;1554281872762961463;public com.shopping.dao.ShoppingRecordDaoImplement.<init>();<no-session-id>;5353794794525032458;1554281872762947640;1554281872762957089;icedsoul-PC;0;0
$1;1554281872785669310;public com.shopping.dao.UserDaoImplement.<init>();<no-session-id>;5353794794525032459;1554281872785655564;1554281872785665285;icedsoul-PC;0;0
$1;1554281872797332997;public com.shopping.dao.UserDetailDaoImplement.<init>();<no-session-id>;5353794794525032460;1554281872797318316;1554281872797328595;icedsoul-PC;0;0
$1;1554281872827645420;public com.shopping.service.EvaluationServiceImplement.<init>();<no-session-id>;5353794794525032461;1554281872827631497;1554281872827641601;icedsoul-PC;0;0
$1;1554281872971396251;public com.shopping.service.ProductServiceImplement.<init>();<no-session-id>;5353794794525032462;1554281872971378008;1554281872971389869;icedsoul-PC;0;0
$1;1554281872993995697;public com.shopping.service.ShoppingCarServiceImplement.<init>();<no-session-id>;5353794794525032463;1554281872993981437;1554281872993991279;icedsoul-PC;0;0
$1;1554281873010134290;public com.shopping.service.ShoppingRecordServiceImplement.<init>();<no-session-id>;5353794794525032464;1554281873010110069;1554281873010129107;icedsoul-PC;0;0
$1;1554281873017465988;public com.shopping.service.UserDetailServiceImplement.<init>();<no-session-id>;5353794794525032465;1554281873017456138;1554281873017463003;icedsoul-PC;0;0
$1;1554281873023110619;public com.shopping.service.UserServiceImplement.<init>();<no-session-id>;5353794794525032466;1554281873023101373;1554281873023107799;icedsoul-PC;0;0
$1;1554281873396878467;public com.shopping.controller.EvaluationController.<init>();<no-session-id>;5353794794525032467;1554281873396844576;1554281873396860452;icedsoul-PC;0;0
$1;1554281873403776556;public com.shopping.controller.ProductController.<init>();<no-session-id>;5353794794525032468;1554281873403761136;1554281873403772034;icedsoul-PC;0;0
$1;1554281873408780930;public com.shopping.controller.ShoppingCarController.<init>();<no-session-id>;5353794794525032469;1554281873408767213;1554281873408776490;icedsoul-PC;0;0
$1;1554281873413301514;public com.shopping.controller.ShoppingRecordController.<init>();<no-session-id>;5353794794525032470;1554281873413284965;1554281873413296977;icedsoul-PC;0;0
$1;1554281873418462294;public com.shopping.controller.UserController.<init>();<no-session-id>;5353794794525032471;1554281873418448931;1554281873418458161;icedsoul-PC;0;0
$1;1554281887724494006;public com.shopping.entity.Product.<init>();<no-session-id>;5353794794525032472;1554281887724485832;1554281887724489181;icedsoul-PC;3;3
$1;1554281887727578350;public void com.shopping.entity.Product.setId(int);<no-session-id>;5353794794525032472;1554281887727555709;1554281887727573172;icedsoul-PC;4;3
$1;1554281887754034728;public com.shopping.entity.Product.<init>();<no-session-id>;5353794794525032472;1554281887754027489;1554281887754030193;icedsoul-PC;5;3
$1;1554281887754076152;public void com.shopping.entity.Product.setId(int);<no-session-id>;5353794794525032472;1554281887754071660;1554281887754073943;icedsoul-PC;6;3
$1;1554281887760429268;public com.shopping.entity.Product.<init>();<no-session-id>;5353794794525032472;1554281887760359641;1554281887760386678;icedsoul-PC;7;3
$1;1554281887762679829;public void com.shopping.entity.Product.setId(int);<no-session-id>;5353794794525032472;1554281887760869208;1554281887760907682;icedsoul-PC;8;3
$1;1554281887769471079;public com.shopping.entity.Product.<init>();<no-session-id>;5353794794525032472;1554281887769462428;1554281887769466646;icedsoul-PC;9;3
$1;1554281887770773014;public void com.shopping.entity.Product.setId(int);<no-session-id>;5353794794525032472;1554281887770764973;1554281887770768708;icedsoul-PC;10;3
$1;1554281887771043567;public com.shopping.entity.Product.<init>();<no-session-id>;5353794794525032472;1554281887771038414;1554281887771040460;icedsoul-PC;11;3
$1;1554281887771069551;public void com.shopping.entity.Product.setId(int);<no-session-id>;5353794794525032472;1554281887771066010;1554281887771067775;icedsoul-PC;12;3
$1;1554281887771253294;public com.shopping.entity.Product.<init>();<no-session-id>;5353794794525032472;1554281887771249058;1554281887771251123;icedsoul-PC;13;3
$1;1554281887771277171;public void com.shopping.entity.Product.setId(int);<no-session-id>;5353794794525032472;1554281887771267970;1554281887771275453;icedsoul-PC;14;3
$1;1554281887771410653;public com.shopping.entity.Product.<init>();<no-session-id>;5353794794525032472;1554281887771407067;1554281887771408709;icedsoul-PC;15;3
$1;1554281887771427311;public void com.shopping.entity.Product.setId(int);<no-session-id>;5353794794525032472;1554281887771424117;1554281887771425638;icedsoul-PC;16;3
$1;1554281887771549309;public com.shopping.entity.Product.<init>();<no-session-id>;5353794794525032472;1554281887771545556;1554281887771547280;icedsoul-PC;17;3
$1;1554281887771566232;public void com.shopping.entity.Product.setId(int);<no-session-id>;5353794794525032472;1554281887771562834;1554281887771564395;icedsoul-PC;18;3
$1;1554281887775681705;public void com.shopping.entity.Product.setCounts(int);<no-session-id>;5353794794525032472;1554281887775661334;1554281887775677408;icedsoul-PC;19;3
$1;1554281887776007654;public void com.shopping.entity.Product.setDescription(java.lang.String);<no-session-id>;5353794794525032472;1554281887775988658;1554281887776004424;icedsoul-PC;20;3
$1;1554281887776248743;public void com.shopping.entity.Product.setKeyWord(java.lang.String);<no-session-id>;5353794794525032472;1554281887776232607;1554281887776245339;icedsoul-PC;21;3
$1;1554281887776476073;public void com.shopping.entity.Product.setName(java.lang.String);<no-session-id>;5353794794525032472;1554281887776459788;1554281887776472536;icedsoul-PC;22;3
$1;1554281887776694564;public void com.shopping.entity.Product.setPrice(int);<no-session-id>;5353794794525032472;1554281887776675944;1554281887776690960;icedsoul-PC;23;3
$1;1554281887776907988;public void com.shopping.entity.Product.setType(int);<no-session-id>;5353794794525032472;1554281887776891019;1554281887776904808;icedsoul-PC;24;3
$1;1554281887779023496;public void com.shopping.entity.Product.setCounts(int);<no-session-id>;5353794794525032472;1554281887779014683;1554281887779018768;icedsoul-PC;25;3
$1;1554281887779243909;public void com.shopping.entity.Product.setDescription(java.lang.String);<no-session-id>;5353794794525032472;1554281887779238745;1554281887779240733;icedsoul-PC;26;3
